idx|time|match|quote|title|author|label
56|00:00|in the heart of the night|She, carved in the heart of the night for the restlessness of my hallucinated eyes: she, recorded in the woods of the forest by the knives of my hands|The enthusiastic depth|Pablo Neruda|PASS
80|00:03|after twelve o'clock|It was after twelve o'clock when Easton came home. Ruth recognised his footsteps before he reached the house, and her heart seemed to stop beating when she heard the clang of the gate, as it closed after he had passed through.|The Ragged Trousered Philanthropists|Robert Tressell|PASS
89|00:05|after twelve o'clock|It was after twelve o'clock when Easton came home. Ruth recognised his footsteps before he reached the house, and her heart seemed to stop beating when she heard the clang of the gate, as it closed after he had passed through.|The Ragged Trousered Philanthropists|Robert Tressell|PASS
938|05:01|after five o'clock|Just after five o'clock on this chill September morning, the fishmonger's cart, containing Kirsten and Emilia and such possessions as they have been able to assemble in the time allowed to them, is driven out of the gates of Rosenborg?|Music and Silence|Rose Tremain|PASS
2089|10:20|In twenty minutes|At about ten o'clock the first tiny snowflakes came loitering down and settled on Jill's arm. Ten minutes later they were falling quite thickly. In twenty minutes the ground was noticeably white.|The Silver Chair|C.S. Lewis|FAIL
3158|15:31|after half past three|It was after half past three when the hotel manager came to see Hetty. She had made several applications to the front desk since Sean O'Donnell had left, but to no avail.|New York|Edward Rutherfurd|PASS
3363|16:36|after four-thirty|It was after four-thirty when they arrived at the old Red Bull Playhouse in upper St. John Street, and the performance had been under way for more than an hour. The theatre was hot and stuffy, almost humid, and it smelt strongly of sweat and unwashed bodies and powerful perfumes.|Forever Amber|Kathleen Windsor|PASS
3471|17:01|after five|"THE COUNTESS OLENSKA had said ""after five""; and at half after the hour Newland Archer rang the bell of the peeling stucco house with a giant wisteria throttling its feeble cast-iron balcony, which she had hired, far down West Twenty-third Street, from the vagabond Medora."|The Age of Innocence|Edith Wharton|PASS
3860|19:10|in five minutes it would be a quarter past seven|"He had already got to the point where, by rocking more strongly, he maintained his equilibrium with difficulty, and very soon he would finally have to make a final decision, for in five minutes it would be a quarter past seven. Then there was a ring at the door of the apartment. ""That's someone from the office,"" he told himself, and he almost froze, while his small limbs only danced around all the faster. For one moment everything remained still. ""They aren't opening,"" Gregor said to himself, caught up in some absurd hope."|Metamorphosis|Franz Kafka|PASS
4067|20:06|after eight o'clock|I have been drunk just twice in my life, and the second time was that afternoon; so everything that happened has a dim, hazy cast over it, although until after eight o'clock the apartment was full of cheerful sun.|The Great Gatsby|F. Scott Fitzgerald|PASS
4076|20:09|after eight o'clock|I have been drunk just twice in my life, and the second time was that afternoon; so everything that happened has a dim, hazy cast over it, although until after eight o'clock the apartment was full of cheerful sun.|The Great Gatsby|F. Scott Fitzgerald|FAIL
4254|21:01|after nine|The good Brants did not allow the boys to play out after nine in summer evenings; they were sent to bed at that hour; Eddie honorably remained, but Georgie usually slipped out of the window toward ten, and enjoyed himself until midnight.|Edward Mills and George Benton: A Tale|Mark Twain|PASS
4256|21:02|after nine|The good Brants did not allow the boys to play out after nine in summer evenings; they were sent to bed at that hour; Eddie honorably remained, but Georgie usually slipped out of the window toward ten, and enjoyed himself until midnight.|Edward Mills and George Benton: A Tale|Mark Twain|PASS
4449|22:06|after ten o'clock|Of course, they had good reason to be fussy on such a night. And then it was long after ten o'clock and yet there was no sign of Gabriel and his wife. Besides they were dreadfully afraid that Freddy Malins might turn up screwed.|The Dead|James Joyce|PASS
4490|22:20|In twenty minutes|At about ten o'clock the first tiny snowflakes came loitering down and settled on Jill's arm. Ten minutes later they were falling quite thickly. In twenty minutes the ground was noticeably white.|The Silver Chair|C.S. Lewis|FAIL
4728|23:32|In about twenty-eight minutes it will be midnight.|"This is the evening. This is the night. It is New Year's Eve. In about twenty-eight minutes it will be midnight. I still have twenty-eight minutes left. I have to recollect my thoughts. At twelve o'clock, I should be done thinking. He looked at his father. ""Help those that are depressed and consider themselves lost in this world,"" he thought. ""Old fart."""|The Evenings|Gerard Reve|PASS
915|05:00|five in the morning|"I did Danièle's math in my head. ""If we start at ten, walk for four hours, rest for one, walk for another two, that's seven hours in total. That will take us to five in the morning. Seven hours back, it won't be noon until we resurface."""|The Catacombs|Jeremy Bates|PASS
207|00:54|six minutes to one|Everybody was happy; everybody was complimentary; the ice was soon broken; songs, anecdotes, and more drinks followed, and the pregnant minutes flew. At six minutes to one, when the jollity was at its highest- BOOM! There was silence instantly.|A Double Barrelled Detective Story|Mark Twain|PASS
2258|11:01|just past eleven|O'Neil rises and takes the tray. He has finished the tea, but the muffins are still here in a wicker basket covered with a blue napkin. The clock above the stove says that it is just past eleven, and guests will be arriving at the house now.|Mary and O'Neil|Justin Cronin|PASS
2010|10:00|ten o'clock|The heat had started in the small hours of the morning, swiftly building up. Around ten o'clock, it had fully erupted into being, just after Turks and Greeks on each side of the Green Line had finished their morning coffees.|The Island of Missing Trees|Elif Shafak|PASS
1832|09:23|9:23|Hugo drove his Bugatti through the gates of Barrington's shipyard for the first time in over two years, at 9:23 the following morning. He parked in the chairman's space before making his way up to his father's old office.|The Sins of the Father|Jeffrey Archer|PASS
1147|06:27|6:27|It was 6:27. In Frances Peverell's flat the phone rang. As soon as James spoke her name she knew that something was wrong.|Original Sin|P.D. James|PASS
842|04:30|four thirty in the morning|Algernon died two days ago. I found him at four thirty in the morning when I came back to the lab after wandering around down at the waterfront-on his side, stretched out in the corner of his cage. As if he were running in his sleep.|Flowers for Algernon|Daniel Keyes|PASS
4481|22:18|Ten eighteen|'Ten eighteen by mine. You see.' He didn't bother to look.|The Quiet American|Graham Greene|PASS
715|03:42|3:42|'We are due in Yellow Sky at 3:42,' he said, looking tenderly into her eyes. 'Oh, are we?' she said, as if she had not been aware of it. To evince surprise at her husband's statement was part of her wifely amiability.|The Bride Comes to Yellow Sky|Stephen Crane|PASS
3463|17:00|five in the afternoon|The same could have occurred at noon in the Roque warehouse, or in the subway at five in the afternoon. Or much earlier, in Europe, some night of vagrancy in the free zones, the wasteland where an old can could serve to throat a throat however little good will.|Hopscotch|Julio Cortázar|PASS
263|01:07|01:07 GMT|01:07 GMT Lamont could hear the sound of a car coming from behind him. Moments later a green Jaguar drove past and proceeded along the driveway, lights full on. It came to a halt outside the house.|Nothing Ventured|Jeffrey Archer|PASS
247|01:00|one o'clock in the morning|The station was more crowded than he had expected to find it at - what was it? he looked up at the clock - one o'clock in the morning. What in the name of God was he doing on King's Cross station at one o'clock in the morning, with no cigarette and no home that he could reasonably expect to get into without being hacked to death by a homicidal bird?|The Long Dark Tea-time of the Soul|Douglas Adams|PASS
770|04:00|4am|Suddenly, he started to cry. Curled up on the sofa he sobbed loudly. Michel looked at his watch; it was just after 4am. On the screen a wild cat had a rabbit in its mouth.|Atomised|Michel Houellebecq|PASS
1795|09:14|fourteen minutes past nine|On the Saturday, at fourteen minutes past nine in the morning, the court's deliberations were complete.|The Beast|Anders Roslund & Borge Hellstrom|PASS
1909|09:45|quarter to ten|It will take you some twelve or fifteen minutes to drive to your bank in a growler, so if you are here with one at a quarter to ten to-morrow morning, that will exactly meet the case.|A Thief in the Night|E. W. Hornung|PASS
4150|20:37|8:37 P.M.|8:37 P.M. Braque sat in a Pepto-Bismol pink toilet stall in the otherwise empty women's bathroom and opened the jar of green sweet pepper jelly. Even with the sound of AC/DC playing and the smell of cheap bleach rising to her face, the scent of the jelly overwhelmed her senses.|Kitchens of the Great Midwest|J. Ryan Stradal|PASS
220|00:59|almost at one in the morning|It was downright shameless on his part to come visiting them, especially at night, almost at one in the morning, after all that had happened.|The Idiot|Fyodor Dostoyevsky|PASS
4612|23:00|11 at night|At 11 at night we left the cave.|The rabid toy|Roberto Arlt|PASS
1632|08:46|08:46|Petrov undoubtedly had the remote, so there was no question now that the asshole had reset the time from 08:46 to. . . now.|Radiant Angel|Nelson DeMille|PASS
4478|22:17|10:17 p.m.|10:17 p.m. Casette will not go in.|Bridget Jones's Diary|Helen Fielding|PASS
3443|17:00|five o'clock|Beyond his limits it is not wise to stray, lest we arrive at the land of gilded puppets, where Disraeli's dukes and duchesses feast forever on ortolans, and pompetones of larks, and lobster sandwiches; where young spendthrifts breakfast at five o'clock in the afternoon on soup and claret;|At the novelist's table|Agnes Repplier|PASS
1809|09:16|09:16|He couldn't see me even if he were looking for surveillance in this area because the sun was 09:16 hours high in the south-east and the reflection off the windscreen would blind him to anything behind it.|The Kobra Manifesto|Adam Hall|PASS
3687|18:20|six twenty|It was six twenty before Sarah Berowne managed to reach Ivor Garrod by telephone. She had been in her flat most of the early part of the afternoon but hadn't dared ring from there.|A Taste for Death|P.D. James|PASS
2283|11:08|eight minutes past eleven|The bursar was standing in the hall with his arms folded across his chest and when he caught sight of the fat young man he looked significantly at the clock. It was eight minutes past eleven.|Stephen Hero|James Joyce|PASS
53|00:00|midnight|"Ren said, ""If you go to the football field at midnight on Halloween and say his name three times, his ghost is supposed to appear."""|Copper River|William Kent Krueger|PASS
1311|07:16|07.16|The Zombie SmartGuide works much harder to construct these fictional, time-travel tooth-brushing scenarios than it ever did on normal tooth-brushing scenarios when it was alive. It literally does this all day long. Lately it's taken to showing the transition from 07.16 to 07.17 quite frequently.|The Seed Collectors|Scarlett Thomas|PASS
3469|17:01|one minute past five|At one minute past five, Beth left the museum, hailed a taxi and, after giving the driver her address, sat in the back surrounded by boxes and unashamedly shed a tear.|Next in Line|Jeffrey Archer|PASS
2792|13:45|quarter to two|That period which is always so dangerous, when the wicket is bad, the ten minutes before lunch, proved fatal to two more of the enemy. The last man had just gone to the wickets, with the score at a hundred and thirty-one, when a quarter to two arrived, and with it the luncheon interval.|Mike|PG Wodehouse|PASS
2281|11:08|11:08|Ellis marched back to his desk, battling an onset of panic. In the row of wall clocks, the second hands were relentlessly sprinting as if in a race. Local time was 11:08. So much for his lunch plans.|Sold on a Monday|Kristina McMorris|PASS
1277|07:05|five minutes after seven|He shaved and dressed for the day. Then he sat down at the kitchen table with coffee and a cigarette. The children were still in bed. But in five minutes or so he planned to put boxes of cereal on the table and lay out bowls and spoons, then go in to wake them for breakfast. He really couldn't believe that the old woman who'd phoned him last night would show up this morning, as she'd said she would. He decided he'd wait until five minutes after seven o'clock, and then he'd call in, take the day off, and make every effort in the book to locate someone reliable. He brought the cup of coffee to his lips.It was then that he heard a rumbling sound out in the street. He left his cup and got up from the table to look out the window. A pickup truck had pulled over to the curb in front of his house. The pickup cab shook as the engine idled. Carlyle went to the front door, opened it, and waved. An old woman waved back and then let herself out of the vehicle. Carlyle saw the driver lean over and disappear under the dash. The truck gasped, shook itself once more, and fell still.|Where I'm Calling From|Raymond Carver|PASS
1767|09:08|9.08am|9.08am rolled over onto left side.|A Fraction of the Whole|Steve Toltz|PASS
2762|13:30|1.30|This hymn-singing seemed to me just as silly as the port wine they gave us before the match; indeed 'Onward Christian Soldiers' and port wine are still inextricably mixed together in my mind. We had our usual enormous dinner at 1.30; and as the match was at 2.15 we used to get all ready first, even to strapping our hockey-pads on to our legs before we set to work to consume vast platefuls of pea-soup, great chunks of roast beef and vegetables, and slabs of suet pudding and jam. Then each member of the team was solemnly given a glassful of sweet and sticky port, and we rushed straight from the table out to the hockey field. I found the port extremely nasty and difficult to swallow; and everyone complained that it made them feel sick; still, it was an honour to get it, so we drank it gratefully. But if we won the match - and we generally did win – it must have been that the spiritual uplift imparted to us by 'Onward Christian Soldiers' was able to overcome even the acute discomfort of the mixture in our insides.|Period Piece|Gwen Raverat|PASS
840|04:30|four thirty in the morning|"""What time is it? Do you have time here?"" ""Of course we do."" She pulled up her sleeve, revealing a yellow Timex wristwatch. ""It is four thirty in the morning."" ""That's a nice watch."" ""My father gave it to me,"" she said happily."|The Catacombs|Jeremy Bates|PASS
762|04:00|four in the morning|I will be careful for help if you see you in work, and in everything you will do as expected of your understanding. We were west, on August 16, at four in the morning. Your friend, The Duke.|Don Quixote|Miguel de Cervantes|PASS
1|00:00|twelve|"""And you get a lot bored?"" ""Regular. I have organized my life like that of an industrialist. Every day I lie at twelve and get up at nine in the morning."""|The Seven Madmen|Roberto Arlt|PASS
2|00:00|twelve o'clock|"""I shall never forget his flying Henry's kite for him that very windy day last Easter-and ever since his particular kindness last September twelvemonth in writing that note, at twelve o'clock at night, on purpose to assure me that there was no scarlet fever at Cobham, I have been convinced there could not be a more feeling heart nor a better man in existence.-If any body can deserve him, it must be Miss Taylor."""|Emma|Jane Austen|PASS
161|00:35|Clock time is 0 Hours, 12 Minutes, 0 Seconds. Twenty three minutes later|Clock time is 0 Hours, 12 Minutes, 0 Seconds. Twenty three minutes later, they have their first sight of Venus. Each lies with his Eye clapp'd to the Snout of an identical two and a half foot Gregorian reflector made by Mr Short, with Darkening-Nozzles by Mr Bird.|Mason & Dixon|Thomas Pynchon|PASS
208|00:55|12:55|After a moment reality reasserted itself, and she realized she hadn't been hallucinating, but dreaming. The clock on the desk read 12:55. They'd begun their ten-minute session at 12:25, so obviously she had twenty minutes to account for.|The Enclave|Karen Hancock|FAIL
404|02:00|two|Lady Macbeth: Out, damned spot; out, I say. One, two,-why, then 'tis time to do't. Hell is murky. Fie, my lord, fie, a soldier and afeard? What need we fear who knows it when none can call our power to account? Yet who would have thought the old man to have had so much blood in him?|Macbeth|William Shakespeare|PASS
844|04:30|4:30|He cannot leave. Most likely, he'll never leave. Bram finds his way back to the chair and settles in. Outside, a bird cries out as the moon comes and goes behind thick clouds. He retrieves the pocket watch from his coat and curses. He forgot to wind it, and the hands ceased their journey at 4:30. He stuffs it back into his pocket.|Dracul|Dacre Stoker & J.D. Barker|PASS
925|05:00|5 a.m.|Soon after 5 a.m. he noticed the sky at its edges beginning to turn an oyster grey. Gradually the dark crests of the wooded pine hills emerged, serrated like a saw's teeth against the spreading light, while in the valleys the white mist seemed as solid as a glacier.|Munich|Robert Harris|FAIL
421|02:02|almost 2:04|"Wake up. ""Having the worst dream."" ""I should certainly say you were."" ""It was awful. It just went on and on."" ""I shook you and shook you and."" ""Time is it."" ""It's nearly - almost 2:04."""|Oblivion|David Foster Wallace|PASS
